f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f jL0400m jL0400f jL0600m jL0600f jL0809m jL0809f jV0300m jV0300f jV0500m jV0500f jV1000m jV1000f 
0.0422924 1 45 0.96646 -14.8814 1 0 0.256818 165.119 1 90 0.0759762 179.59 0.0763117 174.216 15.086 -41.1993 14.0256 -40.9114 1 0 0.241615 75.1186 0.0714784 89.5905 1 -135 0.0642046 -104.881 0.241615 -104.881 0.0714784 -90.4095
0.0432876 1 45 0.964946 -15.2155 1 0 0.26245 164.785 1 90 0.0798827 179.579 0.0802194 174.328 14.7407 -41.1101 13.6555 -40.8004 1 0 0.241236 74.7845 0.0734259 89.5793 1 -135 0.0656125 -105.215 0.241236 -105.215 0.0734259 -90.4207
0.0443062 1 45 0.963367 -15.5564 1 0 0.268186 164.444 1 90 0.0840058 179.568 0.0843439 174.436 14.4034 -41.0189 13.2928 -40.6856 1 0 0.240842 74.4436 0.0754405 89.5678 1 -135 0.0670465 -105.556 0.240842 -105.556 0.0754405 -90.4322
0.0453488 1 45 0.961722 -15.9041 1 0 0.274028 164.096 1 90 0.0883591 179.556 0.0886985 174.542 14.0739 -40.9255 12.9373 -40.5668 1 0 0.24043 74.0959 0.0775257 89.5558 1 -135 0.068507 -105.904 0.24043 -105.904 0.0775257 -90.4442
0.0464159 1 45 0.960007 -16.2588 1 0 0.279976 163.741 1 90 0.0929573 179.543 0.0932982 174.644 13.752 -40.8299 12.5888 -40.4439 1 0 0.240002 73.7412 0.0796851 89.5434 1 -135 0.069994 -106.259 0.240002 -106.259 0.0796851 -90.4566
0.0475081 1 45 0.95822 -16.6205 1 0 0.286031 163.38 1 90 0.0978164 179.531 0.0981588 174.743 13.4375 -40.7322 12.2471 -40.3165 1 0 0.239555 73.3795 0.0819226 89.5306 1 -135 0.0715077 -106.62 0.239555 -106.62 0.0819226 -90.4694
0.048626 1 45 0.956359 -16.9893 1 0 0.292193 163.011 1 90 0.102953 179.517 0.103297 174.839 13.1303 -40.6321 11.9121 -40.1845 1 0 0.23909 73.0107 0.0842426 89.5173 1 -135 0.0730482 -106.989 0.23909 -106.989 0.0842426 -90.4827
0.0497702 1 45 0.954421 -17.3653 1 0 0.298462 162.635 1 90 0.108387 179.504 0.108732 174.933 12.8302 -40.5298 11.5836 -40.0475 1 0 0.238605 72.6347 0.0866495 89.5035 1 -135 0.0746156 -107.365 0.238605 -107.365 0.0866495 -90.4965
0.0509414 1 45 0.952404 -17.7485 1 0 0.30484 162.251 1 90 0.114136 179.489 0.114484 175.023 12.5371 -40.425 11.2613 -39.9054 1 0 0.238101 72.2515 0.0891484 89.4892 1 -135 0.0762099 -107.749 0.238101 -107.749 0.0891484 -90.5108
0.0521401 1 45 0.950304 -18.1391 1 0 0.311325 161.861 1 90 0.120224 179.474 0.120574 175.11 12.2507 -40.3178 10.9452 -39.7579 1 0 0.237576 71.8609 0.0917445 89.4743 1 -135 0.0778312 -108.139 0.237576 -108.139 0.0917445 -90.5257
0.053367 1 45 0.948118 -18.5371 1 0 0.317918 161.463 1 90 0.126674 179.459 0.127025 175.195 11.9709 -40.2082 10.635 -39.6045 1 0 0.23703 71.4629 0.0944438 89.4589 1 -135 0.0794795 -108.537 0.23703 -108.537 0.0944438 -90.5411
0.0546228 1 45 0.945845 -18.9425 1 0 0.324619 161.058 1 90 0.13351 179.443 0.133864 175.277 11.6977 -40.096 10.3305 -39.445 1 0 0.236461 71.0575 0.0972525 89.4428 1 -135 0.0811547 -108.942 0.236461 -108.942 0.0972525 -90.5572
0.0559081 1 45 0.943481 -19.3554 1 0 0.331427 160.645 1 90 0.140762 179.426 0.141118 175.355 11.4307 -39.9811 10.0317 -39.279 1 0 0.23587 70.6446 0.100178 89.426 1 -135 0.0828567 -109.355 0.23587 -109.355 0.100178 -90.574
0.0572237 1 45 0.941023 -19.7759 1 0 0.338342 160.224 1 90 0.148459 179.409 0.148817 175.431 11.17 -39.8637 9.7384 -39.1061 1 0 0.235256 70.2241 0.103226 89.4085 1 -135 0.0845855 -109.776 0.235256 -109.776 0.103226 -90.5915
