f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jV0400m jV0400f jV0600m jV0600f jV0200m jV0200f jV0800m jV0800f 
13.5305 28345.1 179.582 0 0 0.666729 -0.138964 0 0 0.253898 -179.59 1 0 290.607 -0.418405 0 0 9.63898e-08 -90.4184 1.29529e-13 -89.7862 2.83451 179.582 3.54314 -0.418411
13.8489 28345.1 179.572 0 0 0.666728 -0.142234 0 0 0.253899 -179.58 1 0 290.606 -0.42825 0 0 9.86578e-08 -90.4283 1.32577e-13 -89.7812 2.83451 179.572 3.54313 -0.428256
14.1747 28345 179.562 0 0 0.666728 -0.145581 0 0 0.2539 -179.571 1 0 290.606 -0.438327 0 0 1.00979e-07 -90.4383 1.35697e-13 -89.776 2.8345 179.562 3.54313 -0.438333
14.5083 28345 179.551 0 0 0.666727 -0.149006 0 0 0.253901 -179.56 1 0 290.606 -0.448641 0 0 1.03355e-07 -90.4486 1.3889e-13 -89.7707 2.8345 179.551 3.54312 -0.448647
14.8497 28345 179.541 0 0 0.666727 -0.152512 0 0 0.253902 -179.55 1 0 290.605 -0.459197 0 0 1.05787e-07 -90.4592 1.42158e-13 -89.7653 2.8345 179.541 3.54312 -0.459204
15.1991 28344.9 179.53 0 0 0.666726 -0.1561 0 0 0.253903 -179.539 1 0 290.605 -0.470002 0 0 1.08276e-07 -90.47 1.45504e-13 -89.7598 2.83449 179.53 3.54311 -0.470009
15.5568 28344.9 179.519 0 0 0.666726 -0.159773 0 0 0.253905 -179.529 1 0 290.604 -0.481061 0 0 1.10824e-07 -90.4811 1.48928e-13 -89.7542 2.83449 179.519 3.54311 -0.481068
15.9228 28344.8 179.508 0 0 0.666725 -0.163532 0 0 0.253906 -179.518 1 0 290.604 -0.49238 0 0 1.13431e-07 -90.4924 1.52433e-13 -89.7484 2.83448 179.508 3.5431 -0.492388
16.2975 28344.8 179.496 0 0 0.666724 -0.16738 0 0 0.253907 -179.506 1 0 290.603 -0.503966 0 0 1.161e-07 -90.504 1.5602e-13 -89.7425 2.83448 179.496 3.5431 -0.503974
16.681 28344.7 179.484 0 0 0.666724 -0.171318 0 0 0.253909 -179.495 1 0 290.603 -0.515824 0 0 1.18832e-07 -90.5158 1.59692e-13 -89.7364 2.83447 179.484 3.54309 -0.515832
